segment,time,throttle,vane,rpm,roll,pitch,yaw,accelx,accely,accelz,gx,gy,gz,magx,magy,magz,encoderGamma,encoderBeta,
0,171.147003,0.000000,0.000000,nan,-0.020419,1.220490,9.551987,-0.169890,0.033500,10.015758,-0.002698,-0.006398,-0.008576,-106.433037,-19.580374,-67.441353,0.000000,0.000000,
0,171.207993,0.000000,0.000000,nan,-0.027703,1.253218,9.512439,-0.188435,-0.013759,10.067204,-0.018123,0.001238,-0.018197,-106.433037,-19.580374,-67.441353,0.000000,0.000000,
0,171.268997,0.000000,0.000000,nan,-0.056312,1.221110,9.556004,-0.175872,-0.031705,10.084551,0.006923,0.007194,0.005016,-106.494415,-20.649200,-68.493530,0.000000,0.000000,
0,171.330002,0.000000,0.000000,nan,-0.068938,1.229718,9.560840,-0.133400,-0.007178,10.040284,-0.006516,-0.004565,0.003030,-106.494415,-20.649200,-68.493530,0.000000,0.000000,
0,171.391006,0.000000,0.000000,nan,0.008371,1.215393,9.674979,-0.163310,-0.046660,9.994222,0.001120,0.007194,-0.022168,-106.494415,-20.649200,-68.493530,0.000000,0.000000,
0,171.451996,0.000000,0.000000,nan,0.006284,1.204995,9.677961,-0.192622,0.015553,9.978669,0.014711,-0.008383,-0.000788,-106.632507,-19.867966,-68.831963,0.000000,0.000000,
0,171.513000,0.000000,0.000000,nan,-0.032274,1.268821,9.724613,-0.166899,0.061017,10.050453,-0.010334,-0.000594,-0.008424,-106.632507,-19.867966,-68.831963,0.000000,0.000000,
0,171.574005,0.000000,0.000000,nan,0.011589,1.237585,9.689729,-0.203988,-0.007777,10.041480,0.001120,0.003224,0.039835,-106.632507,-19.867966,-68.831963,0.000000,0.000000,
0,171.634995,0.000000,0.000000,nan,0.000954,1.244468,9.639956,-0.206979,-0.018544,10.105488,0.003105,-0.008383,0.028228,-106.831100,-20.341442,-69.296684,0.000000,0.000000,
0,171.695999,0.000000,0.000000,nan,0.023696,1.231534,9.694420,-0.203988,0.016152,10.010373,0.026165,-0.010368,-0.041563,-106.831100,-20.341442,-69.296684,0.000000,0.000000,
0,171.757004,0.000000,0.000000,nan,0.035913,1.205386,9.661435,-0.208176,-0.002991,10.053444,0.004937,-0.012201,0.030214,-106.831100,-20.341442,-69.296684,0.000000,0.000000,
0,171.817993,0.000000,0.000000,nan,0.025603,1.171778,9.679166,-0.154337,-0.032303,10.027123,0.006923,-0.002580,0.028228,-106.831100,-20.341442,-69.296684,0.000000,0.000000,
0,171.878998,0.000000,0.000000,nan,0.016051,1.154195,9.552142,-0.173480,-0.002393,10.018150,-0.000866,0.009180,-0.004606,-106.834618,-20.434383,-69.212517,0.000000,0.000000,
0,171.940002,0.000000,0.000000,nan,-0.029448,1.172449,9.532276,-0.192024,0.001795,9.988838,0.003105,-0.014186,-0.000788,-106.834618,-20.434383,-69.212517,0.000000,0.000000,
0,172.001007,0.000000,0.000000,nan,-0.045577,1.152608,9.534737,-0.205783,-0.005982,10.010373,-0.004684,0.005209,-0.018197,-106.834618,-20.434383,-69.212517,0.000000,0.000000,
0,172.061996,0.000000,0.000000,nan,-0.015289,1.151080,9.609782,-0.147159,-0.043071,10.011570,0.014711,0.001238,-0.010409,-106.923164,-20.764065,-67.992867,0.000000,0.000000,
0,172.123001,0.000000,0.000000,nan,-0.016430,1.158098,9.557207,-0.174078,0.008973,10.044471,0.012726,-0.002580,-0.004606,-106.923164,-20.764065,-67.992867,0.000000,0.000000,
0,172.184006,0.000000,0.000000,nan,-0.050976,1.160497,9.453270,-0.135793,-0.035294,10.034302,-0.006669,0.001391,0.041820,-106.923164,-20.764065,-67.992867,0.000000,0.000000,
0,172.244995,0.000000,0.000000,nan,-0.070516,1.156268,9.548609,-0.153141,-0.013759,10.055838,-0.010487,0.022771,-0.002773,-106.827156,-20.341442,-68.917908,0.000000,0.000000,
0,172.306000,0.000000,0.000000,nan,-0.087930,1.189829,9.531664,-0.182453,-0.010169,10.054641,-0.002698,-0.002580,0.008833,-106.827156,-20.341442,-68.917908,0.000000,0.000000,
0,172.367004,0.000000,0.000000,nan,-0.074435,1.163216,9.551964,-0.201595,0.013161,10.029516,0.010741,-0.004565,-0.006591,-106.827156,-20.341442,-68.917908,0.000000,0.000000,
0,172.427994,0.000000,0.000000,nan,-0.072264,1.161667,9.593936,-0.136989,-0.037089,10.027721,-0.012320,0.005209,-0.022015,-106.863548,-20.297165,-68.497482,0.000000,0.000000,
0,172.488998,0.000000,0.000000,nan,-0.049216,1.115908,9.554174,-0.188435,-0.029910,10.028918,0.016544,0.007041,0.016622,-106.863548,-20.297165,-68.497482,0.000000,0.000000,
0,172.550003,0.000000,0.000000,nan,-0.086310,1.145983,9.606423,-0.165703,0.004786,10.032507,0.024332,0.012997,-0.035607,-106.863548,-20.297165,-68.497482,0.000000,0.000000,
0,172.610992,0.000000,0.000000,nan,-0.093919,1.182783,9.454223,-0.191426,-0.007777,10.044471,0.006923,0.003376,0.039835,-106.863548,-20.297165,-68.497482,0.000000,0.000000,
